T19,Consumer Price Index,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
31,Azerbaijan,2016,Consumer price index: General,132.3878,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
31,Azerbaijan,2017,Consumer price index: General,149.4723,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
31,Azerbaijan,2018,Consumer price index: General,152.9000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
31,Azerbaijan,2010,Consumer price index: Food,100.0000,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
31,Azerbaijan,2015,Consumer price index: Food,119.5773,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
31,Azerbaijan,2016,Consumer price index: Food,136.2348,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
31,Azerbaijan,2017,Consumer price index: Food,159.7667,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
31,Azerbaijan,2018,Consumer price index: Food,162.9583,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
44,Bahamas,1995,Consumer price index: General,75.2891,Provisional data.;Break in the time series.;New Providence,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
44,Bahamas,2005,Consumer price index: General,88.1683,Provisional data.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
44,Bahamas,2010,Consumer price index: General,100.0000,Provisional data.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
